rounds,accuracy,kappa,f1_score,roc_auc,Scenario
24,0.5868,0.54083834628102,0.5826744235940499,0.8807322839563514,One_Attacker_IID
25,0.5936,0.5482961647560359,0.5909543534191661,0.8840969188045709,One_Attacker_IID
26,0.5892,0.5433594246751764,0.5831396113233214,0.8854677370320653,One_Attacker_IID
27,0.5898,0.5443370256038714,0.5932555185826291,0.8849969049796604,One_Attacker_IID
28,0.598,0.5530907144494287,0.5958490271277394,0.8850770709538972,One_Attacker_IID
29,0.6006,0.555962494024339,0.6001321836400795,0.8861717275044856,One_Attacker_IID
30,0.6046,0.5605395421860635,0.600049428589354,0.8862542692453029,One_Attacker_IID
31,0.603,0.5587600060708161,0.6035796953968584,0.8867791336525702,One_Attacker_IID
32,0.6028,0.5584649794002283,0.6033920470347155,0.8871098363605207,One_Attacker_IID
33,0.5988,0.5541217916560643,0.599579833651955,0.8859714651739128,One_Attacker_IID
34,0.608,0.5644106829212571,0.6073503026504542,0.8873580943308677,One_Attacker_IID
35,0.611,0.567713632842629,0.6116543844712713,0.8888006217178561,One_Attacker_IID
36,0.6154,0.5726914905184278,0.6172849452405298,0.8855854918625017,One_Attacker_IID
37,0.617,0.5743094465749399,0.6194941177058513,0.8851825667090576,One_Attacker_IID
38,0.6164,0.5736778375303146,0.6171639029507225,0.8864276520591402,One_Attacker_IID
39,0.6182,0.5755582132168231,0.6184725122940875,0.8860894343290485,One_Attacker_IID
40,0.622,0.5797030592213378,0.6225882237350544,0.888509380594785,One_Attacker_IID
41,0.614,0.5708330202970987,0.6165873455683295,0.8875089020943635,One_Attacker_IID
42,0.6238,0.5817860447982421,0.6220615411379171,0.8892859336575731,One_Attacker_IID
43,0.6196,0.5771618389973169,0.6222542510777637,0.8876644698502066,One_Attacker_IID
44,0.62,0.5775999386891523,0.6217926261706063,0.8882944198342919,One_Attacker_IID
45,0.6174,0.5749379519363159,0.6172710772344947,0.8852686449838969,One_Attacker_IID
46,0.6266,0.5848436669413551,0.6243366357419675,0.8887570256857829,One_Attacker_IID
47,0.6174,0.5747017674011738,0.6176538126164849,0.8872014866217892,One_Attacker_IID
48,0.6148,0.5718147829266996,0.6155448641490644,0.8881666676442793,One_Attacker_IID
49,0.6172,0.5747117094497131,0.6193940737689477,0.888910251778445,One_Attacker_IID
50,0.6236,0.5816256427085372,0.6239763715338298,0.8880954498863405,One_Attacker_IID
1,0.3026,0.2245000203554873,0.2594621976294036,0.7554225630261034,Two_Attackers_IID
2,0.3428,0.2696028262829468,0.2952001154449765,0.7833390359412562,Two_Attackers_IID
3,0.363,0.2915557814466552,0.3248552821127893,0.8000295007245488,Two_Attackers_IID
4,0.3758,0.3075413691705689,0.3655787389354517,0.8097080143927419,Two_Attackers_IID
5,0.4072,0.3420943527888805,0.3887906202445664,0.8162732024237592,Two_Attackers_IID
6,0.4212,0.3571820074082347,0.3968689840977067,0.8206733791763099,Two_Attackers_IID
7,0.443,0.3808505393961266,0.4272696810652754,0.823653732261142,Two_Attackers_IID
8,0.4434,0.3820445658670494,0.4338917992943314,0.8197275059354794,Two_Attackers_IID
9,0.463,0.4034713964745313,0.4539858156949782,0.8268831549482529,Two_Attackers_IID
10,0.4698,0.4111568673569473,0.4609667306347644,0.8362184215294229,Two_Attackers_IID
11,0.4698,0.411086287525217,0.4683756711247114,0.831571423043339,Two_Attackers_IID
12,0.4874,0.4301701482950841,0.4816939319847163,0.8249506799611821,Two_Attackers_IID
13,0.4838,0.4263416670710022,0.4814995466520775,0.8370065220908964,Two_Attackers_IID
14,0.4788,0.4210954668930671,0.4669119856696794,0.8363510999441505,Two_Attackers_IID
15,0.4736,0.4157796953726257,0.4676436561706663,0.8286378454454785,Two_Attackers_IID
16,0.4924,0.4364768450453598,0.4894020084577469,0.833291919729091,Two_Attackers_IID
17,0.496,0.4404072652729157,0.4958460646822608,0.8382068493149923,Two_Attackers_IID
18,0.479,0.4211972406335577,0.4738258060667271,0.8325665175984824,Two_Attackers_IID
19,0.4946,0.439006419168417,0.4909369939573829,0.8371791444949335,Two_Attackers_IID
20,0.4982,0.4428007441490733,0.4962589806026555,0.8340094989475109,Two_Attackers_IID
21,0.5038,0.4489171002156827,0.5070503295679151,0.837263502792739,Two_Attackers_IID
22,0.5238,0.4713572834611305,0.518430104313239,0.8442949982353535,Two_Attackers_IID
23,0.4974,0.441522420812292,0.4957072593354742,0.8363152737970864,Two_Attackers_IID
24,0.503,0.4479923813237014,0.4956375774048595,0.8397318348596251,Two_Attackers_IID
25,0.5036,0.44866005202766,0.49986548037951,0.8391576799148072,Two_Attackers_IID
26,0.503,0.4479454954079444,0.501314903528297,0.8380118158768992,Two_Attackers_IID
27,0.5174,0.4639004827222661,0.5173778170793812,0.8396441394044356,Two_Attackers_IID
28,0.5238,0.4709359147733915,0.5253659722037318,0.8395804850891465,Two_Attackers_IID
29,0.5206,0.4673714105990258,0.5234548629437624,0.8445015024171294,Two_Attackers_IID
30,0.5564,0.507021845161471,0.5599878780087647,0.8526317623275012,Two_Attackers_IID
31,0.523,0.4701661521494623,0.526954577091382,0.8441434879524022,Two_Attackers_IID
32,0.5334,0.4816839874154952,0.5316424457776456,0.8483985756823132,Two_Attackers_IID
33,0.5252,0.4726229619235072,0.5275264425999421,0.8481046527388971,Two_Attackers_IID
34,0.516,0.4624861449588725,0.5150524454921056,0.8447401323213372,Two_Attackers_IID
35,0.4932,0.437195985585766,0.4954580029760049,0.839617358988413,Two_Attackers_IID
36,0.5428,0.4923827250822563,0.5412207992160769,0.8529912843002779,Two_Attackers_IID
37,0.5188,0.4654614199931033,0.5243389997551904,0.846370377738061,Two_Attackers_IID
38,0.5286,0.4763778416354069,0.5309094201100657,0.8511337583548791,Two_Attackers_IID
39,0.5308,0.4786973296984972,0.5338636888113616,0.8461574656793166,Two_Attackers_IID
40,0.513,0.4591264944489077,0.5165869671495792,0.8441211420984811,Two_Attackers_IID
41,0.5358,0.48444124251996,0.5377662309088406,0.8492475463069578,Two_Attackers_IID
42,0.5186,0.4653944550050601,0.5208875987461732,0.8474876392061238,Two_Attackers_IID
43,0.5402,0.4890920086108432,0.5440847445589808,0.853715945274873,Two_Attackers_IID
44,0.5124,0.4583687724899197,0.5147828717269244,0.8446480797615437,Two_Attackers_IID
45,0.5354,0.4840547274508306,0.5413412034003794,0.8510027631434188,Two_Attackers_IID
46,0.538,0.4866240199091242,0.5423388105485271,0.8540929037273625,Two_Attackers_IID
47,0.5182,0.4646000154212271,0.5207031202551203,0.8497749463995838,Two_Attackers_IID
48,0.4936,0.4374761392198968,0.4901373829780631,0.8419099683344029,Two_Attackers_IID
49,0.5274,0.4751008273868022,0.5270179898082,0.8502077246120482,Two_Attackers_IID
50,0.5352,0.483574587428318,0.5376513974449547,0.8490383110411122,Two_Attackers_IID
1,0.1838896662002798,0.0889005026621401,0.0732568881161983,0.7670761226005545,Baseline_NonIID
2,0.3819708175094943,0.3041061177342747,0.3210758949695666,0.8137731016754576,Baseline_NonIID
3,0.4317409554267439,0.3576554133254819,0.3652881569529091,0.8338613201925251,Baseline_NonIID
4,0.4577253647811313,0.386828140161582,0.3987926339721834,0.8429838744860658,Baseline_NonIID
5,0.4697181690985408,0.3994993290124296,0.4077745388840775,0.8491031110173523,Baseline_NonIID
6,0.4717169698181091,0.4022730727639314,0.4135925101391324,0.8508806099343412,Baseline_NonIID
7,0.4883070157905257,0.4206429142096,0.435081751973505,0.8568519834585859,Baseline_NonIID
8,0.4989006596042374,0.432106508641721,0.4378786270825191,0.8602298186305398,Baseline_NonIID
9,0.5044973016190286,0.4382998110244835,0.4452434501711732,0.8626235554966263,Baseline_NonIID
10,0.520087947231661,0.454852355987953,0.4525558403699609,0.8650671280584716,Baseline_NonIID
11,0.5210873475914451,0.4571701277576754,0.4607834266166118,0.8687036656789519,Baseline_NonIID
12,0.5380771537077753,0.474751422969783,0.46634329743944,0.871705296554949,Baseline_NonIID
13,0.5392764341395163,0.4775151070095677,0.4861443080964724,0.8755816400812959,Baseline_NonIID
14,0.5398760743553868,0.4784328251376761,0.4872635700292075,0.875878136731788,Baseline_NonIID
15,0.5480711573056166,0.4873313604300495,0.4965064890753419,0.8786568498201859,Baseline_NonIID
16,0.5596642014791126,0.4995137463689473,0.4985544377751745,0.8781863308156665,Baseline_NonIID
17,0.5588646811912852,0.4986448868830547,0.5024348193724004,0.8807138975916363,Baseline_NonIID
18,0.5604637217669398,0.5003533494400464,0.4987112812781848,0.8832520937082129,Baseline_NonIID
19,0.566060363781731,0.5058192848913938,0.497264038275462,0.8829400055813514,Baseline_NonIID
20,0.5790525684589246,0.5201123433661258,0.5137969897245379,0.8894412961142953,Baseline_NonIID
21,0.5738556865880472,0.5152285976004746,0.5173166552525121,0.8837727559614692,Baseline_NonIID
22,0.5804517289626224,0.5221861560635312,0.518201728173279,0.8857560221593433,Baseline_NonIID
23,0.5960423745752549,0.5395273643055439,0.5295440462060395,0.8861847194734617,Baseline_NonIID
24,0.5978412952228663,0.5415052724021521,0.5366581064282209,0.8891175804082816,Baseline_NonIID
25,0.5908454927043774,0.5337047425278512,0.5282939885656848,0.8862796289905358,Baseline_NonIID
