rounds,accuracy,kappa,f1_score,roc_auc,Scenario
27,0.5844,0.5382178735842075,0.5828195032017826,0.885494563431929,One_Attacker_IID
28,0.5818,0.5353014035525739,0.5796436276049358,0.8894462076762797,One_Attacker_IID
29,0.5914,0.545733295259174,0.5925267160229215,0.8892634317232445,One_Attacker_IID
30,0.592,0.5465503878099255,0.5891719287428077,0.8914891497254226,One_Attacker_IID
31,0.5926,0.5471798486221613,0.5902619524783658,0.8911286867033792,One_Attacker_IID
32,0.591,0.5457270323594852,0.595585027638153,0.8941736823324069,One_Attacker_IID
33,0.601,0.5565526189977132,0.6015314127451369,0.8946401522957843,One_Attacker_IID
34,0.5984,0.5537420347173542,0.598026082902109,0.8935315361245646,One_Attacker_IID
35,0.5928,0.5475638116770902,0.5912894808914827,0.8932008874981097,One_Attacker_IID
36,0.592,0.5466887382504934,0.5911061662073988,0.8937286950763719,One_Attacker_IID
37,0.6056,0.5616425174867727,0.6050509215528304,0.897724223971417,One_Attacker_IID
38,0.6132,0.5701078099457062,0.6126497469790259,0.8958814092164482,One_Attacker_IID
39,0.6012,0.5569878275797874,0.6017459739074584,0.8965363249614698,One_Attacker_IID
40,0.6126,0.5693725481797752,0.6102987845224591,0.8960593934379889,One_Attacker_IID
41,0.6084,0.5649327573401194,0.6058636455912741,0.8965730212605689,One_Attacker_IID
42,0.61,0.5667574240106116,0.6066219427871216,0.8970080364185895,One_Attacker_IID
43,0.6116,0.5682733056866056,0.6090139923279198,0.8990620588981021,One_Attacker_IID
44,0.5998,0.5553244325533224,0.6013963671337227,0.8961134852563318,One_Attacker_IID
45,0.6052,0.5613691835117127,0.6040460642975588,0.8989931813143441,One_Attacker_IID
46,0.613,0.5699649945771936,0.6106439658873088,0.8984845498135934,One_Attacker_IID
47,0.6254,0.5836759265164922,0.6256803431617107,0.8990005647013343,One_Attacker_IID
48,0.619,0.5765816559555895,0.6186661113773112,0.8976576849343346,One_Attacker_IID
