rounds,accuracy,kappa,f1_score,roc_auc,Scenario
9,0.4974,0.4412632124870512,0.4940710541406358,0.8509966711051126,One_Attacker_IID
10,0.507,0.4520702214428325,0.497646045083188,0.8557652138738678,One_Attacker_IID
11,0.5058,0.4509205399951727,0.4992947245624978,0.8522327045829874,One_Attacker_IID
12,0.5078,0.4534578733939864,0.4978946934221906,0.8566696304341307,One_Attacker_IID
13,0.5288,0.476524395069596,0.5181893836005068,0.8593604044860338,One_Attacker_IID
14,0.53,0.4780436989372437,0.5207164688854604,0.8589893194741774,One_Attacker_IID
15,0.5438,0.4933285739602057,0.5424865979540031,0.8642727752768121,One_Attacker_IID
16,0.5158,0.4626519155458091,0.5115299647363352,0.8592932936509357,One_Attacker_IID
17,0.5426,0.4920876899542925,0.5376848969113104,0.8692741041969897,One_Attacker_IID
18,0.5542,0.5044407476874392,0.5518057264121797,0.8680966613036275,One_Attacker_IID
19,0.549,0.4990376042486331,0.5494327340824282,0.870340744160959,One_Attacker_IID
20,0.5556,0.5064453160885065,0.5538712204391417,0.8693115024555061,One_Attacker_IID
21,0.5582,0.5094087576538041,0.5578122036093821,0.8699887375198697,One_Attacker_IID
22,0.553,0.5036377781224588,0.5486144353464362,0.8703025725451805,One_Attacker_IID
23,0.5666,0.5185304106549716,0.5680553094413553,0.8706623233099053,One_Attacker_IID
24,0.5684,0.5201702999688751,0.5660179466937636,0.8731473226669699,One_Attacker_IID
25,0.5704,0.5227918244560658,0.5671189733873634,0.8738132355305716,One_Attacker_IID
26,0.5772,0.5301358115776682,0.5766487602544508,0.8754989826865541,One_Attacker_IID
27,0.5792,0.5324091011134338,0.5740469250561008,0.8755822675789503,One_Attacker_IID
28,0.5822,0.5356025553349817,0.5806893518640517,0.8777304455760828,One_Attacker_IID
29,0.5814,0.5349360520527403,0.5797501303265619,0.8787189714277609,One_Attacker_IID
30,0.585,0.538638736704694,0.5866769727370521,0.8791468894194364,One_Attacker_IID
31,0.585,0.5389793240719515,0.5861393401564302,0.8761534522518135,One_Attacker_IID
32,0.5958,0.5506282718625516,0.5981875891267491,0.8790828476925284,One_Attacker_IID
33,0.5846,0.5384874520469548,0.5826053650694377,0.8786643905902256,One_Attacker_IID
34,0.5778,0.5308672974623678,0.5772079478012913,0.8797326274180832,One_Attacker_IID
35,0.5868,0.5410025165559489,0.587539233388988,0.8785354923881299,One_Attacker_IID
36,0.5868,0.5409670590759821,0.5865182216372328,0.8780733775491073,One_Attacker_IID
37,0.5922,0.5471979491392216,0.5926104055704184,0.8798291506769997,One_Attacker_IID
38,0.5966,0.5517956188381475,0.5935138943613165,0.8818487692264098,One_Attacker_IID
39,0.602,0.5575961145365276,0.5999663152043244,0.8824986374577002,One_Attacker_IID
40,0.602,0.5576054979208199,0.6008224841409993,0.8818177083000077,One_Attacker_IID
41,0.6028,0.5587479694768899,0.6009339417427875,0.8786706879300995,One_Attacker_IID
42,0.6032,0.5590752691378045,0.6018472408883672,0.8812142277149704,One_Attacker_IID
43,0.5986,0.5540709283916847,0.5976424024322912,0.8785920969916846,One_Attacker_IID
44,0.6016,0.5572019575641943,0.6027305401740143,0.878478909487439,One_Attacker_IID
45,0.598,0.5535242995795306,0.5994198261690119,0.8763299292457297,One_Attacker_IID
46,0.6088,0.5653543136485963,0.60852727041255,0.8782697202963009,One_Attacker_IID
47,0.6046,0.5608449843212393,0.6063789836601333,0.8826257039703698,One_Attacker_IID
48,0.62,0.5777244458611132,0.6191713457327559,0.8843684298113119,One_Attacker_IID
49,0.6072,0.5635990086541273,0.6068265805468865,0.8817410362523477,One_Attacker_IID
50,0.6096,0.5661238980698269,0.6106220746096952,0.8859649726707821,One_Attacker_IID
1,0.2066,0.1148736852867863,0.1354566678208603,0.6963079401599093,Two_Attackers_IID
2,0.34,0.2669744896767326,0.2942127238079131,0.7641369485630432,Two_Attackers_IID
3,0.3512,0.2794081320509692,0.3105182492274695,0.7847680391565475,Two_Attackers_IID
4,0.3866,0.3192145636253258,0.358775854976962,0.8011801145259893,Two_Attackers_IID
5,0.3876,0.319893771684759,0.3660119589289161,0.8037149158869432,Two_Attackers_IID
6,0.4126,0.3470749544679444,0.3942942449363079,0.8090699899659579,Two_Attackers_IID
7,0.3912,0.3234844560114637,0.3764017498197297,0.802754488249024,Two_Attackers_IID
8,0.4006,0.3336835396133601,0.3872088920077198,0.812971407855889,Two_Attackers_IID
9,0.4454,0.3837159205855367,0.4385720590069794,0.8227982439053325,Two_Attackers_IID
10,0.4458,0.3842681918068447,0.4450190583332964,0.8239058862122837,Two_Attackers_IID
11,0.4308,0.3672564005785718,0.4144035914465596,0.828565242328366,Two_Attackers_IID
12,0.4448,0.3829850405773468,0.4349272006341915,0.8240042017044042,Two_Attackers_IID
13,0.4434,0.381738903354838,0.4239774719650157,0.8217149321436417,Two_Attackers_IID
14,0.4774,0.4189873490545433,0.4737410681404985,0.8351009100426913,Two_Attackers_IID
15,0.4444,0.3829539973338671,0.4446175420161695,0.82756490790594,Two_Attackers_IID
16,0.4496,0.3887064255257462,0.4349381735998114,0.8315280602243287,Two_Attackers_IID
17,0.4816,0.4240608122863648,0.4777215427755947,0.8402868122560485,Two_Attackers_IID
18,0.4724,0.413970155144289,0.4687947896804147,0.8299080273542789,Two_Attackers_IID
19,0.4574,0.3970785199870994,0.4489462425051079,0.8295951221067195,Two_Attackers_IID
20,0.4854,0.4282427916956148,0.4797255435559302,0.8387972136400682,Two_Attackers_IID
